iter	Passed	Remaining
714	11770	4691
715	11784	4674
716	11799	4657
717	11816	4640
718	11830	4623
719	11844	4606
720	11860	4589
721	11875	4572
722	11891	4555
723	11905	4538
724	11919	4521
725	11934	4504
726	11949	4487
727	11963	4470
728	11980	4453
729	11994	4436
730	12009	4419
731	12025	4402
732	12043	4386
733	12055	4368
734	12071	4352
735	12088	4335
736	12103	4319
737	12120	4303
738	12137	4286
739	12153	4270
740	12169	4253
741	12183	4236
742	12196	4218
743	12214	4202
744	12232	4186
745	12253	4172
746	12270	4155
747	12285	4139
748	12299	4121
749	12317	4105
750	12332	4089
751	12350	4072
752	12375	4059
753	12394	4043
754	12419	4030
755	12434	4013
756	12452	3997
757	12468	3980
758	12484	3964
759	12501	3947
760	12519	3931
761	12534	3914
762	12547	3897
763	12561	3880
764	12577	3863
765	12590	3846
766	12603	3828
767	12618	3811
768	12635	3795
769	12652	3779
770	12670	3763
771	12685	3746
772	12699	3729
773	12713	3712
774	12729	3695
775	12745	3679
776	12762	3662
777	12777	3645
778	12792	3629
779	12810	3613
780	12828	3597
781	12845	3580
782	12864	3565
783	12877	3547
784	12893	3531
785	12907	3514
786	12922	3497
787	12938	3480
788	12952	3463
789	12968	3447
790	12984	3430
791	12998	3413
792	13012	3396
793	13028	3380
794	13043	3363
795	13056	3346
796	13071	3329
797	13087	3312
798	13103	3296
799	13120	3280
800	13138	3264
801	13155	3247
802	13171	3231
803	13185	3214
804	13203	3198
805	13218	3181
806	13234	3165
807	13248	3148
808	13263	3131
809	13280	3115
810	13299	3099
811	13318	3083
812	13332	3066
813	13347	3049
814	13364	3033
815	13380	3017
816	13394	3000
817	13408	2983
818	13425	2966
819	13439	2950
820	13454	2933
821	13468	2916
822	13486	2900
823	13502	2883
824	13517	2867
825	13532	2850
826	13547	2834
827	13563	2817
828	13578	2800
829	13595	2784
830	13611	2768
831	13625	2751
832	13642	2735
833	13658	2718
834	13672	2701
835	13686	2684
836	13702	2668
837	13719	2652
838	13733	2635
839	13750	2619
840	13768	2603
841	13783	2586
842	13796	2569
843	13812	2552
844	13829	2536
845	13843	2519
846	13860	2503
847	13876	2487
848	13891	2470
849	13907	2454
850	13921	2437
851	13936	2420
852	13950	2404
853	13964	2387
854	13981	2371
855	13996	2354
856	14012	2338
857	14029	2321
858	14045	2305
859	14060	2288
860	14072	2271
861	14089	2255
862	14104	2239
863	14120	2222
864	14136	2206
865	14149	2189
866	14163	2172
867	14178	2156
868	14193	2139
869	14206	2122
870	14220	2106
871	14240	2090
872	14255	2073
873	14272	2057
874	14285	2040
875	14300	2024
876	14317	2008
877	14339	1992
878	14361	1976
879	14385	1961
880	14403	1945
881	14420	1929
882	14435	1912
883	14452	1896
884	14469	1880
885	14484	1863
886	14501	1847
887	14517	1831
888	14532	1814
889	14547	1798
890	14563	1781
891	14577	1764
892	14593	1748
893	14608	1732
894	14624	1715
895	14639	1699
896	14655	1682
897	14669	1666
898	14684	1649
899	14697	1633
900	14712	1616
901	14726	1599
902	14742	1583
903	14755	1566
904	14769	1550
905	14785	1533
906	14801	1517
907	14818	1501
908	14840	1485
909	14856	1469
910	14871	1452
911	14887	1436
912	14902	1420
913	14918	1403
914	14934	1387
915	14948	1370
916	14963	1354
917	14978	1337
918	14991	1321
919	15007	1305
920	15020	1288
921	15035	1271
922	15051	1255
923	15064	1239
924	15081	1222
925	15094	1206
926	15110	1189
927	15125	1173
928	15140	1157
929	15157	1140
930	15174	1124
931	15189	1108
932	15205	1091
933	15219	1075
934	15235	1059
935	15250	1042
936	15267	1026
937	15280	1010
938	15297	993
939	15311	977
940	15325	960
941	15339	944
942	15354	928
943	15368	911
944	15382	895
945	15402	879
946	15422	863
947	15442	847
948	15458	830
949	15472	814
950	15489	798
951	15504	781
952	15520	765
953	15536	749
954	15553	732
955	15568	716
956	15583	700
957	15597	683
958	15611	667
959	15625	651
960	15639	634
961	15653	618
962	15668	602
963	15685	585
964	15700	569
965	15716	553
966	15732	536
967	15748	520
968	15762	504
969	15778	487
970	15792	471
971	15807	455
972	15822	439
973	15840	422
974	15855	406
975	15869	390
976	15881	373
977	15896	357
978	15913	341
979	15927	325
980	15945	308
981	15964	292
982	15978	276
983	15994	260
984	16008	243
985	16023	227
986	16039	211
987	16054	194
988	16069	178
989	16085	162
990	16101	146
991	16117	129
992	16132	113
993	16149	97
994	16163	81
995	16177	64
996	16190	48
997	16207	32
998	16221	16
999	16234	0
